price,signup,revenue
39,1,39
159,0,0
299,0,0
79,0,0
99,0,0
79,0,0
99,0,0
399,0,0
249,0,0
299,0,0
19,1,19
249,0,0
59,0,0
59,0,0
199,0,0
39,0,0
99,0,0
399,0,0
79,1,79
399,0,0
39,0,0
59,0,0
19,0,0
19,1,19
399,0,0
19,0,0
39,1,39
99,0,0
99,0,0
399,1,399
99,0,0
299,0,0
79,0,0
19,0,0
199,0,0
399,0,0
159,0,0
399,1,399
39,0,0
19,1,19
19,0,0
249,1,249
79,1,79
99,0,0
79,0,0
299,0,0
99,1,99
159,1,159
99,0,0
299,0,0
399,0,0
99,1,99
79,1,79
159,0,0
19,0,0
199,0,0
299,0,0
19,1,19
199,0,0
159,0,0
199,0,0
159,1,159
19,0,0
399,0,0
99,0,0
99,0,0
39,1,39
99,0,0
399,0,0
39,0,0
99,0,0
99,1,99
39,0,0
299,0,0
159,0,0
19,1,19
159,0,0
19,0,0
159,0,0
59,0,0
399,0,0
159,0,0
99,1,99
59,1,59
299,0,0
399,0,0
299,0,0
79,1,79
59,0,0
159,0,0
159,0,0
99,0,0
59,0,0
19,0,0
159,0,0
199,1,199
39,0,0
39,0,0
159,1,159
79,1,79
199,0,0
249,0,0
79,0,0
39,0,0
159,0,0
399,0,0
59,0,0
79,0,0
399,0,0
159,0,0
39,1,39
159,0,0
199,0,0
159,0,0
79,0,0
159,0,0
99,0,0
399,0,0
99,0,0
39,0,0
199,0,0
299,0,0
19,0,0
19,0,0
99,0,0
299,0,0
59,0,0
249,0,0
99,0,0
249,0,0
99,0,0
39,1,39
199,0,0
99,0,0
199,0,0
99,1,99
19,0,0
299,0,0
79,0,0
99,0,0
19,1,19
39,0,0
249,0,0
79,0,0
159,1,159
59,1,59
159,0,0
39,1,39
99,0,0
19,0,0
159,0,0
39,1,39
19,0,0
159,0,0
249,1,249
199,0,0
199,0,0
99,0,0
19,0,0
79,1,79
249,0,0
159,1,159
79,0,0
159,1,159
79,0,0
19,0,0
39,0,0
79,0,0
249,0,0
159,0,0
19,0,0
39,0,0
79,0,0
99,1,99
19,0,0
159,0,0
399,1,399
39,1,39
99,0,0
99,0,0
79,1,79
249,0,0
79,0,0
39,0,0
299,0,0
79,1,79
249,0,0
159,0,0
39,1,39
39,0,0
99,1,99
39,0,0
159,0,0
99,0,0
399,0,0
19,0,0
199,1,199
39,0,0
19,0,0
159,0,0
79,0,0
299,1,299
249,0,0
159,0,0
399,0,0
159,1,159
399,0,0
19,0,0
159,0,0
299,0,0
399,0,0
39,1,39
299,0,0
59,0,0
399,0,0
159,0,0
99,0,0
59,1,59
159,0,0
399,0,0
99,1,99
19,0,0
19,1,19
199,1,199
99,1,99
199,0,0
39,0,0
79,0,0
59,0,0
19,0,0
399,0,0
99,1,99
59,0,0
59,0,0
99,0,0
299,0,0
249,0,0
249,0,0
59,0,0
399,0,0
299,0,0
399,1,399
39,1,39
39,1,39
59,1,59
19,1,19
299,0,0
59,0,0
299,0,0
59,0,0
79,0,0
99,1,99
79,1,79
59,0,0
39,0,0
249,0,0
79,1,79
59,0,0
249,0,0
249,0,0
199,0,0
199,0,0
99,0,0
79,1,79
249,0,0
39,0,0
249,0,0
19,0,0
249,0,0
299,0,0
249,1,249
299,0,0
399,0,0
399,1,399
79,1,79
19,1,19
299,0,0
19,0,0
399,0,0
199,0,0
19,0,0
199,0,0
159,0,0
159,0,0
59,0,0
299,0,0
99,1,99
299,0,0
299,0,0
159,0,0
59,1,59
39,1,39
99,1,99
249,0,0
19,0,0
39,0,0
199,0,0
79,0,0
99,0,0
19,0,0
199,1,199
399,0,0
249,1,249
299,0,0
199,0,0
19,0,0
249,0,0
99,0,0
59,0,0
19,1,19
249,1,249
79,0,0
99,0,0
19,0,0
19,1,19
399,0,0
299,1,299
199,1,199
159,0,0
39,1,39
59,0,0
79,0,0
99,0,0
39,0,0
299,0,0
249,0,0
99,1,99
159,0,0
59,0,0
19,0,0
59,1,59
399,0,0
39,0,0
59,1,59
159,0,0
39,0,0
79,0,0
59,0,0
399,0,0
79,0,0
399,0,0
79,1,79
199,1,199
249,0,0
79,0,0
19,0,0
59,0,0
79,0,0
19,1,19
39,0,0
99,1,99
99,0,0
19,0,0
59,1,59
299,0,0
79,0,0
99,0,0
199,0,0
99,1,99
159,1,159
99,0,0
39,0,0
39,1,39
159,0,0
159,0,0
99,0,0
19,0,0
399,0,0
399,0,0
99,0,0
199,0,0
399,1,399
399,0,0
19,1,19
79,0,0
99,0,0
399,0,0
39,1,39
59,0,0
39,1,39
39,0,0
19,1,19
79,1,79
249,0,0
19,0,0
299,0,0
99,1,99
39,0,0
99,0,0
159,0,0
59,0,0
19,0,0
19,0,0
19,1,19
159,0,0
79,0,0
79,0,0
79,0,0
159,0,0
199,0,0
249,1,249
39,1,39
399,0,0
59,1,59
99,0,0
249,0,0
399,0,0
79,1,79
159,0,0
159,0,0
299,0,0
399,0,0
39,0,0
249,0,0
199,0,0
399,0,0
249,0,0
249,0,0
159,0,0
159,1,159
79,1,79
159,0,0
249,0,0
249,0,0
159,1,159
249,0,0
79,1,79
59,0,0
299,0,0
99,1,99
19,0,0
159,1,159
159,0,0
299,0,0
39,0,0
199,0,0
159,0,0
59,0,0
199,0,0
99,1,99
299,0,0
199,0,0
249,1,249
159,0,0
99,0,0
299,1,299
299,0,0
39,0,0
59,0,0
39,1,39
399,0,0
399,0,0
99,0,0
39,0,0
399,1,399
79,0,0
99,0,0
79,0,0
299,0,0
249,0,0
399,0,0
59,0,0
19,0,0
39,0,0
39,1,39
39,0,0
99,0,0
399,0,0
199,0,0
299,0,0
99,0,0
39,1,39
79,0,0
99,0,0
159,0,0
159,0,0
159,1,159
39,0,0
159,0,0
39,1,39
199,0,0
249,0,0
399,0,0
249,0,0
59,0,0
399,0,0
159,0,0
249,1,249
249,0,0
99,0,0
59,0,0
59,1,59
59,0,0
159,1,159
79,0,0
299,0,0
59,0,0
249,0,0
39,0,0
59,0,0
159,0,0
199,0,0
59,0,0
199,0,0
59,0,0
399,0,0
99,0,0
399,0,0
79,0,0
79,0,0
59,0,0
299,0,0
399,0,0
59,1,59
249,0,0
399,0,0
79,0,0
399,0,0
299,0,0
159,0,0
249,0,0
249,0,0
299,0,0
59,1,59
399,0,0
299,0,0
249,0,0
249,0,0
399,0,0
19,1,19
399,0,0
199,0,0
39,0,0
159,0,0
159,0,0
39,0,0
159,0,0
59,0,0
249,0,0
399,0,0
299,0,0
299,0,0
39,1,39
199,1,199
199,0,0
59,1,59
39,1,39
19,1,19
79,0,0
299,0,0
199,0,0
99,0,0
59,0,0
59,0,0
19,1,19
59,0,0
159,0,0
299,0,0
199,1,199
399,0,0
159,0,0
399,0,0
199,0,0
299,1,299
39,0,0
299,0,0
159,0,0
159,0,0
39,0,0
399,0,0
159,1,159
199,1,199
249,0,0
299,0,0
249,0,0
299,0,0
19,0,0
249,1,249
19,0,0
19,1,19
99,1,99
159,0,0
199,0,0
299,0,0
19,1,19
199,1,199
399,0,0
79,1,79
59,1,59
249,1,249
159,0,0
79,0,0
79,0,0
299,0,0
249,0,0
199,0,0
299,0,0
399,0,0
199,0,0
59,0,0
59,0,0
39,0,0
19,0,0
249,1,249
39,1,39
19,0,0
79,1,79
249,0,0
19,0,0
399,0,0
99,0,0
79,0,0
299,0,0
19,0,0
199,1,199
99,1,99
299,0,0
99,0,0
59,0,0
159,0,0
59,0,0
199,0,0
79,0,0
39,0,0
59,0,0
19,1,19
249,0,0
79,0,0
59,0,0
159,1,159
39,0,0
249,0,0
299,0,0
99,0,0
249,0,0
19,1,19
59,1,59
39,0,0
299,0,0
199,0,0
299,0,0
99,1,99
79,0,0
59,0,0
399,1,399
99,0,0
99,1,99
99,0,0
299,1,299
199,1,199
399,1,399
39,1,39
159,0,0
199,0,0
59,0,0
199,0,0
59,1,59
249,0,0
99,1,99
399,0,0
299,1,299
249,0,0
59,0,0
99,0,0
299,0,0
99,0,0
399,0,0
59,0,0
159,0,0
39,1,39
399,0,0
59,0,0
79,0,0
79,1,79
199,0,0
159,0,0
299,0,0
299,0,0
299,0,0
299,0,0
39,0,0
199,1,199
39,0,0
79,0,0
79,0,0
299,0,0
249,0,0
299,0,0
159,0,0
299,0,0
19,1,19
79,1,79
19,0,0
59,1,59
39,1,39
199,1,199
399,0,0
199,1,199
99,0,0
199,1,199
159,1,159
79,1,79
399,0,0
159,0,0
79,0,0
299,0,0
99,0,0
159,0,0
249,0,0
79,1,79
39,0,0
99,0,0
99,0,0
79,0,0
299,1,299
299,0,0
299,0,0
199,0,0
19,1,19
39,1,39
249,1,249
39,1,39
159,0,0
39,1,39
249,0,0
79,0,0
99,0,0
159,0,0
99,1,99
59,0,0
99,0,0
299,0,0
59,0,0
159,1,159
19,1,19
59,0,0
59,1,59
19,0,0
399,0,0
59,0,0
39,0,0
159,0,0
99,0,0
159,0,0
19,0,0
19,0,0
299,0,0
99,0,0
199,0,0
199,0,0
399,0,0
39,1,39
249,0,0
199,0,0
399,0,0
159,0,0
19,0,0
59,1,59
159,0,0
199,0,0
249,0,0
249,0,0
199,0,0
59,0,0
159,0,0
249,1,249
59,0,0
199,0,0
79,0,0
39,1,39
79,0,0
39,0,0
59,0,0
59,0,0
99,0,0
299,1,299
59,1,59
79,0,0
39,1,39
299,0,0
399,0,0
99,1,99
199,0,0
159,1,159
99,0,0
39,1,39
59,0,0
79,0,0
39,0,0
19,0,0
299,0,0
299,1,299
299,0,0
79,0,0
19,0,0
39,0,0
399,0,0
19,0,0
199,0,0
39,1,39
19,0,0
19,0,0
99,0,0
19,1,19
99,0,0
199,0,0
19,0,0
299,0,0
79,0,0
19,0,0
299,0,0
39,0,0
159,0,0
199,0,0
399,0,0
249,0,0
79,0,0
399,0,0
99,1,99
59,1,59
299,1,299
79,0,0
79,0,0
79,0,0
39,0,0
159,0,0
399,0,0
159,0,0
399,0,0
159,0,0
159,0,0
159,0,0
59,0,0
399,0,0
249,0,0
39,1,39
199,0,0
79,0,0
99,1,99
399,0,0
399,0,0
159,0,0
19,0,0
99,0,0
299,0,0
299,0,0
299,0,0
399,0,0
59,1,59
199,1,199
39,0,0
39,0,0
59,0,0
159,0,0
399,0,0
159,0,0
99,0,0
399,0,0
249,1,249
99,0,0
199,0,0
79,1,79
79,0,0
39,0,0
79,0,0
399,1,399
39,1,39
19,0,0
39,1,39
39,0,0
399,0,0
159,1,159
79,0,0
399,0,0
19,0,0
299,0,0
299,0,0
399,0,0
79,1,79
249,0,0
199,0,0
399,0,0
299,0,0
159,0,0
399,1,399
199,0,0
59,1,59
19,1,19
159,0,0
99,1,99
399,0,0
39,1,39
19,0,0
249,1,249
39,0,0
399,0,0
299,0,0
39,1,39
79,0,0
159,0,0
249,0,0
99,0,0
39,0,0
199,0,0
249,0,0
99,0,0
399,0,0
159,0,0
299,0,0
19,0,0
39,0,0
199,0,0
299,1,299
79,0,0
19,1,19
59,0,0
99,1,99
249,0,0
79,0,0
199,1,199
399,0,0
399,0,0
249,0,0
59,0,0
399,0,0
59,0,0
199,0,0
99,1,99
399,0,0
39,1,39
159,0,0
399,0,0
159,1,159
39,1,39
39,0,0
299,0,0
159,0,0
159,0,0
159,0,0
59,1,59
249,1,249
59,0,0
399,0,0
39,0,0
99,0,0
39,0,0
19,1,19
399,0,0
299,0,0
199,0,0
159,0,0
249,0,0
159,0,0
249,0,0
249,1,249
159,0,0
19,0,0
99,0,0
79,1,79
39,0,0
99,0,0
99,0,0
99,0,0
99,0,0
199,0,0
199,1,199
399,0,0
199,0,0
199,0,0
39,1,39
39,0,0
19,0,0
99,1,99
79,1,79
159,0,0
79,0,0
249,0,0
199,0,0
19,1,19
99,1,99
299,0,0
99,1,99
79,0,0
249,0,0
99,0,0
99,0,0
399,0,0
99,0,0
299,0,0
59,0,0
99,0,0
399,0,0
79,0,0
79,0,0
249,0,0
399,0,0
39,1,39
79,1,79
79,1,79
59,1,59
249,0,0
399,0,0
159,0,0
159,0,0
249,0,0
249,0,0
79,0,0
79,0,0
79,1,79
199,0,0
299,0,0
39,0,0
199,0,0
199,0,0
159,0,0
249,0,0
299,0,0
249,0,0
399,0,0
99,0,0
59,0,0
99,0,0
159,0,0
299,0,0
299,0,0
199,1,199
159,1,159
199,0,0
39,0,0
159,0,0
249,1,249
159,0,0
59,1,59
159,1,159
199,1,199
159,0,0
79,0,0
249,0,0
159,1,159
249,0,0
99,0,0
399,0,0
199,0,0
249,0,0
19,1,19
59,1,59
299,0,0
79,0,0
39,1,39
19,0,0
59,0,0
99,0,0
249,0,0
299,0,0
19,1,19
249,0,0
19,1,19
59,0,0
39,0,0
249,0,0
19,0,0
99,0,0
99,0,0
59,0,0
159,1,159
299,0,0
199,0,0
59,1,59
59,0,0
99,1,99
199,0,0
99,1,99
79,1,79
39,0,0
99,0,0
159,0,0
199,0,0
199,0,0
299,0,0
39,0,0
249,0,0
249,0,0
159,0,0
299,0,0
19,0,0
19,1,19
199,0,0
299,1,299
299,0,0
99,1,99
39,1,39
399,0,0
299,0,0
19,0,0
199,0,0
99,0,0
19,1,19
99,0,0
19,1,19
59,0,0
159,0,0
249,1,249
249,0,0
299,0,0
399,0,0
399,0,0
249,0,0
39,1,39
249,1,249
19,1,19
399,0,0
159,0,0
199,1,199
39,0,0
19,1,19
99,1,99
249,0,0
299,0,0
39,0,0
249,1,249
199,0,0
299,0,0
19,1,19
19,0,0
79,0,0
299,0,0
299,0,0
99,0,0
59,0,0
159,1,159
399,0,0
19,0,0
19,0,0
399,0,0
249,0,0
299,0,0
59,0,0
59,0,0
159,0,0
159,0,0
399,0,0
299,0,0
99,0,0
399,0,0
99,0,0
159,0,0
399,0,0
99,0,0
79,0,0
159,0,0
159,0,0
199,0,0
399,0,0
299,1,299
39,0,0
249,0,0
199,1,199
79,0,0
59,0,0
99,1,99
249,0,0
79,0,0
159,0,0
39,1,39
19,1,19
59,0,0
99,0,0
159,0,0
99,0,0
249,0,0
39,0,0
19,0,0
159,0,0
99,0,0
299,0,0
159,1,159
399,0,0
249,0,0
59,0,0
79,1,79
99,0,0
39,0,0
399,0,0
79,0,0
19,1,19
79,1,79
39,1,39
39,0,0
19,0,0
79,0,0
299,1,299
399,0,0
99,0,0
249,0,0
199,0,0
99,0,0
199,1,199
39,1,39
99,0,0
299,0,0
59,1,59
59,0,0
299,0,0
159,0,0
249,0,0
299,0,0
249,0,0
19,0,0
249,0,0
79,1,79
19,0,0
299,0,0
39,1,39
19,0,0
299,1,299
399,0,0
99,0,0
39,0,0
79,0,0
79,0,0
79,1,79
99,0,0
249,0,0
79,0,0
249,1,249
159,0,0
199,1,199
249,0,0
79,1,79
39,0,0
159,0,0
199,0,0
249,0,0
59,0,0
299,0,0
79,1,79
299,0,0
39,0,0
159,0,0
159,0,0
79,0,0
39,1,39
79,0,0
249,0,0
39,1,39
299,0,0
39,0,0
249,0,0
199,0,0
99,0,0
299,0,0
199,1,199
399,0,0
199,0,0
249,0,0
19,0,0
59,0,0
249,0,0
59,0,0
159,0,0
79,1,79
99,0,0
99,0,0
199,0,0
249,0,0
99,0,0
199,0,0
399,0,0
159,0,0
59,0,0
99,0,0
79,1,79
399,1,399
159,0,0
19,0,0
159,0,0
299,0,0
19,0,0
99,0,0
99,0,0
249,0,0
399,0,0
79,0,0
99,0,0
79,0,0
19,0,0
249,0,0
159,0,0
249,0,0
39,0,0
399,1,399
99,1,99
199,0,0
59,1,59
249,0,0
159,1,159
249,0,0
249,0,0
19,0,0
299,1,299
99,0,0
99,0,0
399,0,0
19,0,0
399,0,0
59,0,0
59,1,59
39,0,0
159,0,0
159,0,0
59,0,0
59,0,0
19,1,19
399,0,0
59,0,0
399,0,0
99,0,0
59,0,0
399,0,0
299,0,0
249,0,0
99,0,0
99,0,0
19,0,0
19,1,19
19,0,0
59,1,59
19,0,0
299,0,0
299,0,0
99,1,99
59,0,0
159,0,0
19,1,19
39,1,39
159,0,0
249,0,0
99,0,0
159,0,0
159,1,159
159,0,0
19,1,19
199,0,0
19,0,0
159,1,159
399,0,0
99,1,99
299,0,0
99,1,99
159,1,159
59,1,59
59,0,0
199,0,0
399,0,0
39,0,0
79,0,0
59,0,0
249,0,0
99,0,0
39,0,0
159,1,159
199,0,0
59,1,59
59,0,0
59,0,0
199,0,0
99,1,99
399,0,0
99,1,99
299,0,0
19,0,0
399,0,0
399,0,0
99,0,0
399,0,0
199,0,0
59,0,0
199,0,0
59,0,0
399,0,0
299,0,0
39,0,0
39,0,0
19,1,19
299,1,299
39,0,0
199,0,0
99,0,0
19,1,19
39,0,0
99,0,0
159,0,0
19,1,19
159,0,0
99,1,99
19,0,0
39,0,0
39,1,39
59,1,59
79,0,0
19,1,19
249,0,0
399,0,0
39,0,0
159,1,159
59,1,59
249,0,0
39,0,0
19,0,0
299,0,0
99,1,99
99,1,99
99,1,99
99,0,0
99,1,99
19,1,19
39,0,0
299,0,0
399,0,0
249,1,249
19,0,0
79,1,79
159,0,0
79,0,0
39,0,0
299,0,0
19,1,19
249,0,0
19,1,19
59,0,0
159,0,0
159,0,0
199,0,0
399,1,399
299,1,299
39,0,0
39,0,0
39,0,0
399,0,0
59,1,59
399,1,399
99,1,99
19,0,0
159,0,0
399,0,0
99,0,0
79,0,0
39,1,39
399,0,0
299,0,0
59,0,0
79,1,79
19,1,19
299,0,0
59,0,0
19,0,0
199,0,0
299,0,0
199,0,0
159,1,159
99,1,99
79,0,0
19,0,0
59,0,0
79,0,0
99,0,0
79,0,0
159,1,159
399,0,0
19,0,0
299,0,0
199,0,0
249,0,0
299,0,0
39,1,39
99,0,0
159,0,0
59,0,0
299,1,299
19,1,19
399,0,0
199,0,0
19,1,19
99,0,0
199,0,0
39,1,39
39,0,0
59,0,0
249,0,0
159,1,159
39,0,0
39,0,0
399,0,0
249,0,0
399,1,399
159,0,0
199,0,0
59,1,59
79,1,79
159,0,0
159,0,0
249,0,0
199,0,0
159,0,0
99,0,0
19,1,19
299,0,0
399,0,0
19,0,0
99,1,99
199,0,0
199,0,0
249,0,0
99,1,99
199,0,0
39,1,39
249,0,0
249,0,0
199,0,0
399,0,0
99,0,0
39,1,39
99,0,0
159,0,0
19,0,0
99,0,0
79,0,0
79,1,79
79,0,0
99,1,99
59,0,0
199,0,0
299,0,0
79,1,79
159,0,0
19,1,19
299,0,0
99,0,0
159,0,0
19,0,0
79,0,0
399,0,0
59,0,0
299,0,0
19,0,0
249,0,0
79,1,79
299,0,0
299,0,0
399,0,0
39,1,39
39,1,39
19,0,0
159,0,0
399,0,0
249,0,0
79,0,0
249,1,249
99,0,0
159,1,159
39,1,39
159,0,0
59,0,0
99,0,0
249,0,0
19,0,0
79,0,0
199,0,0
159,1,159
59,0,0
159,0,0
299,0,0
79,1,79
59,0,0
99,1,99
159,0,0
79,0,0
79,0,0
79,0,0
199,0,0
199,1,199
59,0,0
299,0,0
99,0,0
19,0,0
79,1,79
79,0,0
249,0,0
399,1,399
39,0,0
39,1,39
159,0,0
19,0,0
299,0,0
199,0,0
19,0,0
299,0,0
19,0,0
159,0,0
79,1,79
249,0,0
249,0,0
299,1,299
79,0,0
39,0,0
159,0,0
19,0,0
19,0,0
39,0,0
19,1,19
39,0,0
399,0,0
19,0,0
19,0,0
39,0,0
399,0,0
159,1,159
249,0,0
79,1,79
199,0,0
39,0,0
299,1,299
159,0,0
399,1,399
199,1,199
19,0,0
249,0,0
199,0,0
249,1,249
79,0,0
99,0,0
19,0,0
199,0,0
199,0,0
299,0,0
249,0,0
199,0,0
159,0,0
99,1,99
199,0,0
299,0,0
39,0,0
249,0,0
59,1,59
249,1,249
299,0,0
399,1,399
299,0,0
79,1,79
249,0,0
59,0,0
59,0,0
79,0,0
59,0,0
199,0,0
199,1,199
19,0,0
19,0,0
19,0,0
299,0,0
299,0,0
99,0,0
59,0,0
199,0,0
19,0,0
199,0,0
249,0,0
79,1,79
99,0,0
159,0,0
99,0,0
39,0,0
99,0,0
59,0,0
59,0,0
399,0,0
19,0,0
39,0,0
399,0,0
19,0,0
399,0,0
99,0,0
39,0,0
39,1,39
59,1,59
59,0,0
299,0,0
99,0,0
159,0,0
19,1,19
39,0,0
99,0,0
199,1,199
249,0,0
249,0,0
299,0,0
299,0,0
59,0,0
59,1,59
79,0,0
59,0,0
59,0,0
299,0,0
399,0,0
199,0,0
159,1,159
399,0,0
159,0,0
39,1,39
199,0,0
99,0,0
299,1,299
199,0,0
99,0,0
19,0,0
99,0,0
79,0,0
399,1,399
19,1,19
79,0,0
59,0,0
299,0,0
19,0,0
99,0,0
249,0,0
249,0,0
399,0,0
299,0,0
99,1,99
59,0,0
159,0,0
99,0,0
299,0,0
99,0,0
79,0,0
159,1,159
299,0,0
99,0,0
159,0,0
59,0,0
19,0,0
19,0,0
199,0,0
299,1,299
79,0,0
299,1,299
249,0,0
199,0,0
159,0,0
39,1,39
249,0,0
79,1,79
249,1,249
159,0,0
79,0,0
159,0,0
399,0,0
99,1,99
99,0,0
59,0,0
159,0,0
79,0,0
79,0,0
39,0,0
19,0,0
299,0,0
399,0,0
19,0,0
59,1,59
299,1,299
199,0,0
159,0,0
399,0,0
39,0,0
199,0,0
199,0,0
249,0,0
199,0,0
159,0,0
249,0,0
59,0,0
19,1,19
19,0,0
299,0,0
19,1,19
59,0,0
59,0,0
249,0,0
299,0,0
79,0,0
59,0,0
299,0,0
249,1,249
19,1,19
299,0,0
19,1,19
79,0,0
99,0,0
19,0,0
99,0,0
99,1,99
249,0,0
19,1,19
59,0,0
59,0,0
39,0,0
99,0,0
39,1,39
399,1,399
299,1,299
159,1,159
99,0,0
59,0,0
199,0,0
159,1,159
249,0,0
249,0,0
99,0,0
399,0,0
399,0,0
299,0,0
299,0,0
399,1,399
249,0,0
159,1,159
19,0,0
99,0,0
99,0,0
79,1,79
59,1,59
199,0,0
39,1,39
19,1,19
299,0,0
299,0,0
249,1,249
299,0,0
39,0,0
99,0,0
299,0,0
159,0,0
199,0,0
99,0,0
199,1,199
59,0,0
199,0,0
79,0,0
399,0,0
399,0,0
19,0,0
299,0,0
19,1,19
249,0,0
79,1,79
19,1,19
79,0,0
299,0,0
59,1,59
19,0,0
199,0,0
99,0,0
249,0,0
39,1,39
59,0,0
199,0,0
79,0,0
199,0,0
399,0,0
99,0,0
59,0,0
159,0,0
159,0,0
19,0,0
249,1,249
39,0,0
199,0,0
299,0,0
19,0,0
249,0,0
59,0,0
19,0,0
39,0,0
19,0,0
159,0,0
249,0,0
19,0,0
299,0,0
159,0,0
299,0,0
19,0,0
249,0,0
99,0,0
19,0,0
399,0,0
159,0,0
299,0,0
399,0,0
59,0,0
159,0,0
159,1,159
99,0,0
19,1,19
19,0,0
199,0,0
79,0,0
59,0,0
19,0,0
199,0,0
249,0,0
59,0,0
39,0,0
19,1,19
399,1,399
79,1,79
59,0,0
39,0,0
159,1,159
249,0,0
59,0,0
59,0,0
199,0,0
399,0,0
199,0,0
99,1,99
79,0,0
199,0,0
79,0,0
159,0,0
249,0,0
79,0,0
299,0,0
59,0,0
399,0,0
199,0,0
19,1,19
19,0,0
399,0,0
79,1,79
79,1,79
59,0,0
99,0,0
159,0,0
249,0,0
19,1,19
299,1,299
59,0,0
199,0,0
399,0,0
59,1,59
59,0,0
